테마번호,테마명,종목코드,종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,편입사유
543,의료AI,376930,노을,2225,상승50,+2.30%,2220,2225,479159,1062,457128,"혈액 및 암 진단 분야의 온디바이스 AI 솔루션 ""miLab™(마이랩)""을 생산ㆍ판매하는 기업. 자체 개발한 miLab™은 현미경 기반의 병리학 검사에 필수적인 전문 인력과 진단 검사 인프라가 부족한 환경에서도 진단 검사 수행을 가능하게 만드는 솔루션임. miLab™은 말라리아진단, 말초혈액도말검사, 자궁경부세포분석 3가지 솔루션을 제공하고 있으며, 신규 솔루션 추가를 통해 적용 영역을 확장해 나갈 계획."
543,의료AI,376900,로킷헬스케어,72600,상승1500,+2.11%,72500,72600,696444,51086,446740,"인공지능(AI) 기반 재생치료 플랫폼 업체. 의료용 환부모델링 AI, 일회용 재생 키트, 초개인화 바이오잉크, 의료용 3D 바이오프린터를 융합한 AI 초정밀 환자 맞춤형 장기재생플랫폼을 개발. 주요 제품으로는 의료용 3D 바이오프린터(Dr.INVIVO 4D2D), 일회용 의료기기 키트(Dr.INVIVO AI Regen Kit), 모바일 디바이스 어플리케이션(AiD Regen) 등이 있음."
543,의료AI,340810,시선AI,2850,상승50,+1.79%,2850,2855,45389,129,34748,"23년9월 마이베네핏과 AI 헬스케어 서비스 개발을 위한 업무협약을 체결. 이번 업무협약을 통해 마이베네핏이 세종정부청사, 학교 등에 이미 납품한 헬스케어 키오스크에 동사의 영상인식 AI 기술을 활용하여 개인 맞춤형 서비스를 제공하고, 지속적으로 사업을 확장하여 새로운 비즈니스모델 구축에 상호 협력할 예정."
543,의료AI,033230,인성정보,1837,상승27,+1.49%,1835,1837,766592,1418,267137,"종속회사 하이케어넷, 원격 헬스케어 사업 영위 사실이 시장에서 부각."
543,의료AI,315640,딥노이드,3695,상승40,+1.09%,3695,3700,89513,327,46427,"의료 인공지능 전문 업체. 의료 진단ㆍ판독 보조 및 질병 조기진단을 위한 솔루션을 개발하는 의료 인공지능 사업과 딥러닝 기반의 비전 검사 솔루션 및 X-Ray 영상의 위해물품 자동 판독 솔루션을 개발하는 산업 인공지능 사업, 실무에 활용할 수 있는 맞춤형 인공지능 교육 서비스를 개발하는 인공지능 교육 사업을 영위.의료 인공지능 솔루션 주요 제품으로는 DEEP:NEURO, DEEP:CHEST, DEEP:LUNG, DEEP:PACS PRO 등이 있으며, 산업 인공지능 솔루션 주요 제품은 DEEP:SECURITY, DEEP:FACTORY로 구성."
543,의료AI,382150,온코크로스,12330,상승110,+0.90%,12320,12330,406600,4907,218962,"AI 신약 플랫폼 개발업체. 국내 최초로 약물 투여 또는 질병 발생에 따른 유전자 발현 데이터(전사체, Transcriptome) 변화를 AI로 분석하여 최적의 질병과 치료제를 매칭하여 주는 RAPTOR AI를 개발, 운용. 이 외 전사체 기반으로 항암제의 암종 특이성과 동반진단마커를 예측하는 ONCO-RAPTOR AI, 암환자의 항암 치료에 있어서 현장에서 겪을 수 있는 어려움 가운데 하나인 원발부위불명암의 원발부위를 예측하는 ONCOfind AI 등의 플랫폼을 보유."
543,의료AI,084650,랩지노믹스,2100,상승15,+0.72%,2095,2100,600548,1257,563014,"건강검진 데이터, 약 처방 데이터 등 확보한 의료 데이터 분서을 토대로 검진자의 특정 질병에 대한 취약 여부, 유전 질환 보유 및 발생 여부, 건강 상태 변화 등 정보를 수요 금융사 등에게 제공하는 의료 데이터 AI 알고리즘 개발."
543,의료AI,338220,뷰노,24450,상승150,+0.62%,24450,24500,131901,3222,121228,"인공지능 기반 의료기기 솔루션 업체. 딥러닝 기술력을 토대로 생체신호, 의료 영상(엑스레이, CT, MRI, 안저영상 등) 등 광범위한 의료 데이터를 학습 및 분석하고, 진단에서 예후/예측을 아우르는 의료 전 분야의 혁신을 이끄는 기업."
543,의료AI,288980,모아데이타,908,상승4,+0.44%,907,908,114251,103,99982,AI 기술을 활용하여 2021년 종합물류기업(H사)과 택배 근로자 신체의 이상 상태를 감지하는 웨어러블 디바이스 공급 및 근로자 과로사 방지를 위한 건강이상 예측 및 탐지 서비스 공급 이력 보유. 디지털헬스케어 전문 기업인 종속회사 메디에이지를 통해 디지털헬스케어 시장에 본격적으로 진출 및 공략중. 23년3월 동사 및 메디에이지는 사우디아라비아 의료 분야의 방대한 경험과 네트워크를 보유한 Rifad Investment와 디지털 헬스케어 서비스 공급을 위한 양해각서(MOU)를 체결한 바 있음.
543,의료AI,049180,셀루메드,757,보합0,0.00%,757,758,119183,90,68666,"의료용 AI로봇 사업에 진출했으며, 자체 개발한 환자맞춤형 인공관절 전치환술(PSI)에 AI 로봇 기술을 접목하는 등 의료 AI 소프트웨어 고도화를 진행중."
543,의료AI,354200,엔젠바이오,1701,하락1,-0.06%,1701,1702,20020,34,28805,23년10월 미국 정부가 추진하는 암 정복 프로젝트 '캔서 문샷'(Cancer Moonshot)에 참여. 캔서 문샷 추진을 위해 설립된 공공·민간 협력체인 '캔서 엑스'에 합류했으며 캔서 엑스에 참여하는 글로벌 기업들과 동반 진단을 확대하고 연구 협력을 통해 암 조기 진단을 위한 인공지능(AI) 기능을 제공할 방침.
543,의료AI,328130,루닛,37100,하락400,-1.07%,37050,37100,168076,6205,110929,"딥러닝 기반 의료 인공지능(AI) 업체. 딥러닝 기술을 통해 인간의 시각적 한계를 보완하는 판독 보조(AI-assisted detection) 솔루션을 개발하여 상용화했으며, 주요 제품 및 서비스로는 암 진단 관련 영상 판독 보조 솔루션인 Lunit INSIGHT와 암 치료 관련 이미징 바이오마커 솔루션인 Lunit SCOPE 등이 있음."
543,의료AI,099750,이지케어텍,22350,하락400,-1.76%,22350,22400,56325,1256,101056,"정부의 의료 AI 소프트웨어 사업인 닥터앤서2.0을 통해 개발한 폐 질환 위험평가 소프트웨어(ezAssistant Pneumonia)의 식약처 임상시험을 완료하고, 의료기기 인허가 획득. 루닛, 비플러스랩 등과 의료AI 기술 및 AI의료솔루션 MOU 체결."
543,의료AI,380550,뉴로핏,27350,하락650,-2.32%,27350,27400,1062778,29471,1392482,"뇌질환 인공지능(AI) 솔루션 전문업체. AI 기술 기반으로 한 뇌 영상 분석 소프트웨어 및 치료 의료기기를 연구·개발·판매하고 있으며, 주요 사업영역으로는 진단, 치료 가이드, 치료에 이르는 전주기(Full-cycle) 뇌질환 의료 솔루션을 제공."
543,의료AI,060230,제이케이시냅스,3060,하락75,-2.39%,3060,3070,18860,58,38972,"사용자들에게 메타버스 환경에서 병원에 대한 사전 의료정보를 제공하는 메타버스·AI 의료 솔루션 개발을 위해 커넥, 비트나인 등 5개 기업과 다자간 업무 협약(MOU) 체결."
543,의료AI,127120,제이에스링크,18510,하락470,-2.48%,18500,18510,208754,3867,114700,"한국형 의료 AI개발을 목표로 세브란스병원 및 한국마이크로소프트(MS), 셀바스AI 등 10개 기업과 ‘한국형 디지털 헬스케어 공동연구’ 협약을 맺은 이력 부각."
543,의료AI,229000,젠큐릭스,1547,하락62,-3.85%,1547,1553,84720,132,144919,23년10월 AI 암 진단 기업 딥바이오와 공조해 국내외 의료AI 시장 진출 본격화. 딥바이오에 15억원 규모의 전략적 지분투자(지분율 2.16%)를 단행하고 기술적 시너지와 사업 공조를 확대. 반기보고서(25.06) 기준 딥바이오 지분 4.32% 보유중.
543,의료AI,347700,스피어,8100,하락350,-4.14%,8100,8110,376661,3067,680880,"디지털헬스 기술 플랫폼 및 디지털헬스 솔루션, 디지털 치료기기 등 개발, 공급업체. 자체 구축하여 만든 인공지능을 위한 개인건강기록(PHR) 플랫폼인 '라이프레코드 (LifeRecord)'에는 독창적인 의료 및 건강관리 데이터(Medical-Healthcare Data) 기술과 클라우드 기술, 그리고 소프트웨어 개발능력이 집약되어 있음. 이를 통해 진단보조AI(canofy MD), 헬스케어 유통 플랫폼(canofy Store), 디지털치료제(canofy Tx), 비대면 진료플랫폼(Dr.Call), 제약 생산효율화 솔루션 등 다양한 AI기반 솔루션을 이미 서비스 중에 있거나 개발 중."
543,의료AI,226330,신테카바이오,4035,하락285,-6.60%,4030,4035,383157,1547,501024,신약개발에 있어 가장 중요한 요소인 3차원 단백질구조 및 유전체 빅데이터를 처리하는 기술 기반의 AI 신약 플랫폼 개발 서비스 및 자체 신약파이프라인 개발을 주된 사업으로 영위중. 주요 서비스는 고객을 대상으로 직접 서비스하는 플랫폼 기술인 AI 신약 플랫폼 서비스와 유전체 빅데이터 플랫폼임.
543,의료AI,419540,비스토스,1122,하락107,-8.71%,1122,1123,1325493,1522,477486,"생체신호 진단 및 치료 의료기기 업체로 가정용 인공지능(AI) 태아심음측정기 제품군을 보유하고 있으며, AI가 탑재된 다양한 제품군 출시 준비중."
98,음원/음반,064260,다날,7160,상승710,+11.01%,7160,7170,16592003,116989,2403994,"종속회사 다날엔터테인먼트가 음악, 영상, 캐릭터, 뉴미디어 콘텐츠 등의 제작 및 유통 사업 영위. 2000년도부터 축적해온 폭 넓은 음악산업 네트워크를 바탕으로 OST, 가요, 인디 등의 다양한 장르의 음원/음반 제작 등을 통한 라이선스 확보 그리고 국내외 음악 플랫폼 공급 등을 진행."
98,음원/음반,104200,NHN벅스,2995,상승230,+8.32%,2995,3000,3373577,10418,2370707,"온라인음악서비스 및 디지털음원유통 등을 주요사업으로 영위. 음악포털 ""벅스""를 통한 온라인 음원서비스(B2C) 및 음원유통(B2B), 음악방송 ""세이캐스트"" 등의 SNS운영사업 등을 영위."
98,음원/음반,361570,알비더블유,2685,상승175,+6.97%,2685,2690,985113,2579,3571132,"종합 엔터테인먼트 업체. 매니지먼트, 음원/음반/영상/저작관리, 제작 대행(OEM 등), 공연, 상품 판매 등의 사업을 영위. 마마무+, 원어스, 원위, 퍼플키스 등의 전속 아티스트들을 보유하고 있으며, WM엔터테인먼트, 디에스피미디어의 지분 인수를 통해 오마이걸, B1A4 등의 유망한 아티스트를 포트폴리오에 추가."
98,음원/음반,352820,하이브,299000,상승8000,+2.75%,299000,299500,321605,96940,145395,"방탄소년단(BTS)을 보유한 글로벌 엔터테인먼트 업체. 방탄소년단(BTS), 투모로우바이투게더(TXT) 등을 보유한 빅히트뮤직을 비롯해 세븐틴, 투어스 등을 보유한 플레디스엔터테인먼트, 르세라핌 등을 보유한 쏘스뮤직, 뉴진스 등을 보유한 어도어, 위버스컴퍼니, 케이오지엔터테인먼트 등을 종속회사로 보유."
98,음원/음반,037270,YG PLUS,6400,상승140,+2.24%,6400,6410,487610,3115,338033,"와이지엔터테인먼트 계열사로 음반/원 투자 유통 및 음악플랫폼 운영 대행, MD제조, IP라이선싱 및 유통판매업을 영위하는 업체. 음악사업은 네이버 음악플랫폼 운영 대행 및 음반/원 투자 유통, 콘텐츠 소싱 에이전시이며, MD사업은 아티스트 및 캐릭터 상품 제작/판매, IP 라이선싱 사업을 영위중. 와이지엔터테인먼트 및 하이브 등 주요 음악 제작사들과의 강력한 파트너십을 바탕으로 음반원을 유통."
98,음원/음반,041510,에스엠,103800,상승2200,+2.17%,103700,103800,83612,8678,66409,"음악 전문 종합엔터테인먼트 업체. 강타, BoA, 동방신기, 슈퍼주니어, 소녀시대, 샤이니, EXO, Red Velvet(레드벨벳), NCT, 에스파(aespa), 라이즈, 하츠투하츠 등의 소속 가수를 보유. 주요사업으로 음반 제작, 퍼블리싱, 공연 기획 및 제작 등의 사업 등."
98,음원/음반,403850,더핑크퐁컴퍼니,31150,상승650,+2.13%,31150,31200,691897,21983,332856,"핑크퐁, 아기상어, 베베핀 등 캐릭터 IP 기반의 콘텐츠를 보유한 미디어 기업. 모바일 및 TV 플랫폼 등 다양한 채널을 통해 글로벌 시장에 콘텐츠를 제공하고 있으며, 2D 및 3D 캐릭터를 기반으로 한 Intellectual Property(IP)의 개발 및 생산을 통해 수익을 창출. 주요 매출은 콘텐츠(영상, 음원, APP, 공연, 광고 등), 라이선스, Merchandise(MD, 커머스 등), 게임 등으로 구분."
98,음원/음반,035760,CJ ENM,61700,상승1200,+1.98%,61600,61700,30386,1864,33941,"CJ오쇼핑과 CJ E&M과의 합병법인. 음반제작, 음원유통, 콘서트 등의 음악사업을 영위."
98,음원/음반,043610,KT지니뮤직,1898,상승18,+0.96%,1898,1902,172005,329,363313,KT그룹 계열의 디지털 음악서비스 업체. 디지털 음악스트리밍 플랫폼 'genie(지니)'를 통해 고객에게 고음질 음악감상 서비스를 제공.
98,음원/음반,122870,와이지엔터테인먼트,62200,상승400,+0.65%,62100,62200,122358,7655,53666,"국내 및 일본, 중국 등 전 세계에서 매출이 발생하는 글로벌 엔터테인먼트사. 음반 및 음원 산업, 공연 사업, 매니지먼트(용역) 사업 등을 영위. 또한, 소속 아티스트를 활용한 다양한 콘텐츠 사업과 관련 상품 판매 등 부가적인 사업을 종속회사 등을 통해 영위중. 가수 베이비몬스터, 블랙핑크, 악뮤, 위너 등과 전속계약 체결."
98,음원/음반,035900,JYP Ent.,67900,상승100,+0.15%,67800,67900,221834,15083,118181,"연예매니지먼트, 영화, 드라마, 음반기획/제작 발매사업을 영위하는 종합 엔터테인먼트 기업. 트와이스, ITZY, Stray Kids 등 소속가수 및 연예인들의 엔터테인먼트 활동(광고, 드라마출연, 공연 등)과 음반(CD), 음원의 제작 및 판매를 주요사업으로 영위."
98,음원/음반,173940,에프엔씨엔터,3725,보합0,0.00%,3710,3725,6364,24,4516,"음반기획 제작, 유통업 및 매니지먼트 등을 주요사업으로 영위하는 종합엔터테인먼트회사. FT아일랜드, 씨엔블루, 엔플라잉, SF9, 피원하모니 등 가수와 정해인, 로운, 성혁 등과 전속계약 체결."
98,음원/음반,060570,드림어스컴퍼니,1613,하락3,-0.19%,1611,1613,20035,32,28953,"SK그룹의 음반 및 디지털 콘텐츠 유통사업 영위 업체. 음악 플랫폼 FLO는 다양한 콘텐츠를 제공하고, 이를 통한 이용권 판매 뿐만 아니라 타사와의 제휴 판매채널을 지속적으로 발굴, 확대중. 또한 음반 산업계 제작자들로부터 확보한 유통권을 기반으로 음반 및 디지털콘텐츠 유통 사업을 영위하는 한편, 소속사들로부터 확보한 아티스트 IP를 통하여 응원봉, 굿즈 등을 제작하여 판매."
98,음원/음반,035720,카카오,59200,하락1600,-2.63%,59200,59300,2364108,140742,1385209,"18년9월 카카오M을 흡수합병해 음반 기획/제작/판매 및 온라인 음원 유통사업과 종속회사 스타쉽엔터테인먼트(몬스타엑스 등), 아이에스티엔터테인먼트(에이핑크 등) 등을 통해 엔터테인먼트 사업을 영위. 멜론사업부문(음원서비스, 뮤지컬, 티켓)을 분할하여 분할 신설회사 멜론컴퍼니(Melon Company Corp.)를 설립한 뒤 카카오엔터테인먼트와 합병."
98,음원/음반,032800,판타지오,502,하락20,-3.83%,502,505,138596,71,107519,"엔터테인먼트 사업을 영위하는 업체. 엔터테인먼트 사업은 연예 매니지먼트(드라마, 영화, 광고 등 출연), 음반의 제작 및 판매, MD 판매, 드라마 제작 및 투자를 영위하고 있으며, 백윤식, 서경석 등 배우와 아스트로, 루네이트 등 가수들이 소속되어 있음"
576,퓨리오사AI,124500,아이티센글로벌,25750,상승3750,+17.05%,25750,25800,5405239,139276,895532,"자회사 비전벤처스, 퓨리오사AI의 시리즈B 투자 이력 보유."
576,퓨리오사AI,393210,토마토시스템,5660,상승280,+5.20%,5660,5670,687486,3941,59547,퓨리오사AI 투자 이력 부각.
576,퓨리오사AI,389140,포바이포,8090,상승140,+1.76%,8060,8090,117141,947,120686,퓨리오사AI와 협력해 영상 화질 개선 AI서비스 및 AI 반도체 통합 솔루션을 개발하고 실증 완료.
576,퓨리오사AI,088340,유라클,14870,상승150,+1.02%,14790,14870,64745,966,27720,"25년11월 퓨리오사AI와 AI 기반 개발 생산성 혁신 관련 전략적 업무협약(MOU) 체결. 이번 협약을 통해 퓨리오사AI의 고성능 신경망처리장치(NPU)에 동사가 개발한 아테나 코드 어시스턴트 솔루션을 탑재, 국내외 엔터프라이즈 시장을 공략할 계획."
576,퓨리오사AI,317770,엑스페릭스,2910,상승10,+0.34%,2905,2910,245495,715,201967,"충북도가 추진하고 있는 오창 다목적방사광가속기 구축사업 지원을 위해 충북도, 퓨리오사AI와 업무협약을 체결. 계열사 인텔렉추얼디스커버리를 통해 퓨리오사AI 투자."
576,퓨리오사AI,054300,팬스타엔터프라이즈,685,하락2,-0.29%,685,687,231448,157,342195,24년9월 퓨리오사AI와 'AI 반도체 활용 방위산업 협력' 계약 체결. 퓨리오사AI 제품의 일본내 총판을 맡아 최혜적 판매대리권 보유.
576,퓨리오사AI,246690,TS인베스트먼트,1337,하락6,-0.45%,1336,1337,84727,113,103340,"창업자 및 벤처기업에 대한 투자, 중소기업창업투자조합 및 한국벤처투자조합의 결성 및 운용 등의 사업을 영위하는 창업투자회사. 퓨리오사AI 투자 이력 부각."
576,퓨리오사AI,096250,와이즈넛,12040,하락60,-0.50%,12040,12050,34181,412,29623,인공지능 전문 업체. 25년6월 국산 AI 반도체 팹리스 기업 퓨리오사AI와 'AI 에이전트 어플라이언스' 공동 개발과 사업 추진을 위한 전략적 업무협약 체결. 25년9월 퓨리오사AI와 '와이즈 아이랙(WISE iRAG) 어플라이언스'와 '서치포뮬러원(Search Formula-1) V7 Vector Edition 어플라이언스' 개발.
576,퓨리오사AI,293580,나우IB,1211,하락10,-0.82%,1211,1216,412326,498,877740,여신전문금융회사로 퓨리오사AI 투자 이력 부각.
576,퓨리오사AI,309960,LB인베스트먼트,5520,하락60,-1.08%,5520,5540,36665,201,47213,퓨리오사AI 핵심기술 파트너사인 세미파이브에 투자해 지분을 확보한 사실이 부각.
576,퓨리오사AI,241520,DSC인베스트먼트,7180,하락120,-1.64%,7170,7180,214446,1544,210000,중소/벤처기업에 대한 투자금융을 제공하는 벤처캐피탈 업체. 중소기업창업투자조합 등 조합결성을 통한 창업초기 기업 투자를 주력 사업으로 영위. 퓨리오사AI 투자 이력 부각.
155,반도체 대표주(생산),000660,SK하이닉스,587000,상승21000,+3.71%,586000,587000,3985583,2335366,2391174,"SK그룹 계열의 세계적인 메모리 반도체 전문 제조업체. 주력 생산제품은 DRAM과 낸드플래시 및 MCP(Multi-chip Package)와 같은 메모리 반도체이며, Foundry 사업도 병행해 종합반도체 회사로 영역을 확장중."
155,반도체 대표주(생산),000990,DB하이텍,66200,상승1300,+2.00%,66200,66300,463587,30671,333191,"DB그룹 계열의 시스템 반도체 전문업체. 주요 사업으로 웨이퍼 수탁 생산 및 판매를 담당하는 Foundry 사업과 디스플레이 구동 IC 및 자사 제품을 설계, 판매하는 자회사 DB글로벌칩 사업으로 구성."
155,반도체 대표주(생산),005930,삼성전자,108000,하락400,-0.37%,107900,108000,12222803,1323783,13671800,세계적 경쟁력을 보유한 전자 기업으로 주력사업인 플래시메모리와 D램 사업 등을 영위중.
112,공기청정기,043260,성호전자,6250,상승1240,+24.75%,6240,6250,20919351,129860,3887647,전자부품 전문 제조업체로 위닉스에 공기청정기 부품을 납품.
112,공기청정기,068100,케이웨더,2990,상승105,+3.64%,2910,2990,34315,99,20363,"기상 및 공기 빅데이터플랫폼 업체. 공기측정솔루션(IOT 실내/실외 공기측정기), 공기개선솔루션(환기장치)의 제조 및 판매, 기상/공기데이터 서비스 용역을 주력 사업으로 영위."
112,공기청정기,284740,쿠쿠홈시스,25000,상승100,+0.40%,25000,25150,9889,247,13473,"기존 쿠쿠전자에서 렌탈사업부문이 분할되어 재상장된 업체. 공기청정기, 정수기, 비데 등 생활가전 렌탈사업을 주요 사업으로 영위. 공기청정제습기(AC-24W20FW, AC-12Y10FW(I) 등)를 출시."
112,공기청정기,045520,크린앤사이언스,3560,상승10,+0.28%,3550,3560,5179,18,1498,"각종 여과지 및 필터(공기청정기용 필터, 공조기용 필터, 에어컨 필터 등) 등을 생산, 판매하는 업체."
112,공기청정기,021240,코웨이,84600,보합0,0.00%,84500,84600,255555,21547,258798,공기청정기 렌탈 및 판매 사업 영위.
112,공기청정기,352700,씨앤투스,2495,보합0,0.00%,2480,2495,36526,91,20767,"고성능·고효율 집진필터 소재 Melt Blown 필터 원단(MB)의 원천기술을 기반으로 소재 원단에서 완제품까지 자체 생산하는 업체. MB필터 기술을 활용해 보건용 및 산업용 마스크 뿐만 아니라 공기청정기용필터, 진공청소기용필터, 차량용 에어컨 필터를 생산 판매하는 에어솔루션 사업 영위."
112,공기청정기,005930,삼성전자,108000,하락400,-0.37%,107900,108000,12222803,1323783,13671800,"공기청정기 '블루스카이', 프리미엄 공기청정기 '삼성 큐브' 출시."
112,공기청정기,002700,신일전자,1314,하락6,-0.45%,1314,1315,233141,306,226653,"선풍기, 제습기, 난로, 밥통/밥솥, 히터, 청소기 등을 생산/판매하는 소형가전 전문 제조업체. 공기청정기 제품을 판매."
112,공기청정기,044340,위닉스,5880,하락50,-0.84%,5880,5900,9769,58,25051,"공기청정기, 의류건조기, 제습기 등 생활가전 완제품 및 냉장고용 열교환기를 제조/판매."
112,공기청정기,066570,LG전자,94500,하락1000,-1.05%,94400,94500,538045,50901,691477,'LG 퓨리케어' 공기청정기 시리즈 출시.
112,공기청정기,067170,오텍,2010,하락50,-2.43%,2010,2015,213373,438,212044,냉난방기기 및 공조관련제품을 생산/판매하는 오텍캐리어를 연결대상 종속회사로 보유. 오텍캐리어가 에어원 공기청정기 제품을 판매.
112,공기청정기,058610,에스피지,72900,하락2200,-2.93%,72800,72900,992841,72561,1298741,정밀 제어용 기어드 모터 생산업체로 공기청정기와 제습기에 쓰이는 가정용 Fan BLDC 모터를 생산중.
